,Tech,Training horizon,Forecast horizon,Paired t-test,Wilcoxon signed-ranks test,Mean Error (Tech),Mean Error (Avg)
0,Wind_Turbine_2_(Germany),0.5,0.5,1.314734110056276e-32,4.644020481026793e-19,0.10279649000352523,0.197617188242411
1,Fotovoltaica,0.5,0.5,0.0,1.0037939438221724e-195,0.18299239553472318,0.13120504730055588
2,Photovoltaics_2,0.5,0.5,1.1403e-320,6.151183884876176e-108,0.17193894887535013,0.11141226445412279
3,Onshore_Gas_Pipeline,0.5,0.5,1.6679365030025986e-05,0.004718198728115028,0.07031672246825178,0.14774407136680162
4,Titanium_Sponge,0.5,0.5,3.232036824366747e-27,5.894854174456964e-13,0.2681335708520732,0.1494321248320872
5,Wind_Electricity,0.5,0.5,1.0335080811746269e-142,4.417377893471867e-130,0.15078716191280644,0.03907374050596669
6,Milk_(US),0.5,0.5,0.0,0.0,0.3146950872259941,0.19788161470643365
7,Transistor,0.5,0.5,0.0,2.5731454838819197e-277,0.1563251976065484,0.30694566303773185
8,Primary_Aluminum,0.5,0.5,1.4144885339146026e-272,1.2881149240507823e-42,0.28437158502734666,0.18657926015303977
9,Photovoltaics_4,0.5,0.5,2.4880801153067558e-14,0.20129032777776668,0.05989725972390888,0.04360665234625693
10,PolyesterFiber,0.5,0.5,0.4475900036525978,0.936439361899481,0.11795232861634383,0.0933908559452858
11,Geothermal_Electricity,0.5,0.5,1.8475992354014852e-14,0.28713365213033537,0.05229991253275387,0.06368704075518468
12,Solar_Thermal,0.5,0.5,0.0007746078931762854,0.17965367965367965,0.10137622476606391,0.16526752803607264
13,DRAM,0.5,0.5,0.0,1.795911063027433e-74,0.3171916419871319,0.3558302794132895
14,Ethanol_2,0.5,0.5,1.4747892979879189e-52,2.1726739289610677e-30,0.1507966626498224,0.0738258920591677
15,Monochrome_Television,0.5,0.5,6.118752533323255e-76,5.883653330162589e-55,0.1493857409952368,0.05378027417860999
16,Polyvinylchloride,0.5,0.5,1.9900102816153485e-57,4.201069078224945e-19,0.23221320817423294,0.11888472083637028
17,PolyethyleneLD,0.5,0.5,2.056947691866953e-09,9.657650152364553e-06,0.05602317151089335,0.03565896006800898
18,Solar_Thermal_Electricity,0.5,0.5,0.008304859428903516,0.02857142857142857,0.13652071467092167,0.16649762024344616
19,Polypropylene,0.5,0.5,9.785187984544357e-09,4.193535268308283e-07,0.06341076101635285,0.07387750224682131
20,Laser_Diode,0.5,0.5,0.1677459223828157,0.44700076054959514,0.16926041393499078,0.1068666095205719
21,Electric_Power,0.5,0.5,8.748226532228656e-31,2.0224852874960227e-06,0.07500422472919425,0.046922177620388354
22,Shotgun_Sanger_DNA_Sequencing,0.5,0.5,7.373978081044417e-83,4.248056257694422e-37,0.1693633901962457,0.11758822081094704
23,Capillary_DNA_Sequencing,0.5,0.5,0.0061987632640562625,0.09334533730822608,0.0981718777478811,0.060209589707707546
24,Paraxylene,0.5,0.5,0.006724385210055509,0.06493506493506493,0.10480518306620373,0.06948747123112237
25,SCGT,0.5,0.5,0.03239357714650287,0.7,0.13523942838144973,0.12986451413644134
26,Automotive_(US),0.5,0.5,1.098499541921477e-62,4.0489764228010614e-21,0.0694070637969093,0.11011277483992891
27,Photovoltaics,0.5,0.5,3.67481414728857e-20,3.1749377443727593e-09,0.1339617030733595,0.12636363081861324
28,Solar_Water_Heaters,0.5,0.5,6.328775159889958e-20,1.4282211825936117e-16,0.11618417772297476,0.22432646883071353
29,Wind_Turbine_(Denmark),0.5,0.5,2.1095554176638355e-106,7.0103419067219974e-102,0.059181189628139494,0.10390431616846951
30,Corn_(US),0.5,0.5,4.828500368938146e-164,9.496902068056315e-71,0.1144821123704192,0.11020328872290593
31,PolyethyleneHD,0.5,0.5,6.485997749975778e-16,5.431308183779397e-09,0.034884563337713476,0.037575335871564176
32,Hard_Disk_Drive,0.5,0.5,7.070770564597137e-121,1.1743920937524766e-76,0.2028971759062307,0.3973020833955567
33,Low_Density_Polyethylene,0.5,0.5,7.723105273333151e-47,1.1871699343375306e-14,0.1420319561869053,0.07464709469055548
34,Primary_Magnesium,0.5,0.5,0.0,4.0436508995848604e-138,0.12491611613274961,0.1800497186245164
35,Ethylene,0.5,0.5,1.036325824989201e-19,2.847078453013905e-15,0.07778843647291167,0.0926907366949281
36,Wheat_(US),0.5,0.5,0.0,0.0,0.27263940821285565,0.16526238682612782
37,Offshore_Gas_Pipeline,0.5,0.5,0.2697975720372051,0.4,1.041724675356333,0.7320248839354739
38,Ethanol_(Brazil),0.5,0.5,3.4183617920016407e-60,2.182690119891308e-25,0.15948923634821885,0.0904084373668713
39,Wind_Power,0.5,0.5,4.11127393208818e-67,1.6314362754558409e-22,0.1163657297660734,0.11171213158200283
40,Ford_Model-T,0.5,0.5,5.6682579816851215e-11,1.5886615544537863e-06,0.09506194230545491,0.09339895462161914
41,Polystyrene,0.5,0.5,4.781079778397276e-209,2.78554721360042e-60,0.2689482493145044,0.1384745723603974
42,Beer_(Japan),0.5,0.5,9.663829416146803e-23,2.6379443730065948e-21,0.03077016902269713,0.0674789457944334
43,Wind_Turbine_2_(Germany),0.5,1.0,4.1016119102834537e-33,1.181359556912615e-22,0.16552004128969114,0.2993752738650055
44,Fotovoltaica,0.5,1.0,0.0,0.0,0.33269927841608343,0.1897194051777376
45,Photovoltaics_2,0.5,1.0,7.512335187912575e-97,3.2090841091928193e-50,0.28238635827099734,0.1694318696481869
46,Titanium_Sponge,0.5,1.0,3.5483605753096457e-34,1.5264487843293044e-19,0.4688391895528318,0.17037297257947018
47,Wind_Electricity,0.5,1.0,3.0541462781619244e-105,2.4036220808558725e-64,0.2632158328364263,0.053467223566155526
48,Milk_(US),0.5,1.0,2.3808203208369668e-297,4.2243541394752005e-136,0.45799366653634294,0.1347384704129352
49,Transistor,0.5,1.0,0.0,0.0,0.2252738046002563,0.5151427098132837
50,Primary_Aluminum,0.5,1.0,2.0586674840932236e-10,1.6496665061862602e-05,0.504468671271468,0.25004486987229585
51,Photovoltaics_4,0.5,1.0,1.1282542776451834e-84,1.3492603920618491e-52,0.10357142456700104,0.05814624073147047
52,DRAM,0.5,1.0,0.0,2.4921488228806348e-113,0.4060627429713719,0.5289271828187331
53,Ethanol_2,0.5,1.0,7.282912996588097e-29,7.035853244622753e-18,0.21353228837114507,0.10472655099852901
54,Monochrome_Television,0.5,1.0,5.3441619367623655e-40,4.292488136807385e-23,0.19022820739883797,0.15236633935620394
55,Polyvinylchloride,0.5,1.0,6.183798829511503e-21,6.4755309238918414e-12,0.4033852512912729,0.12816263443499315
56,Polypropylene,0.5,1.0,0.0030005862181706235,0.02857142857142857,0.12065461372403997,0.11487112687586085
57,Laser_Diode,0.5,1.0,6.96174216315607e-14,6.6299022229636165e-06,0.34961202559987675,0.19093836140242446
58,Shotgun_Sanger_DNA_Sequencing,0.5,1.0,1.6843834440297004e-06,0.01552309766339018,0.18576430126153834,0.17504436929274234
59,Capillary_DNA_Sequencing,0.5,1.0,0.0002059889028694612,0.004718198728115028,0.20504818084871937,0.06664730758919418
60,Automotive_(US),0.5,1.0,5.610556306741145e-12,0.43974563486845963,0.18310396947064272,0.19440386078073454
61,Photovoltaics,0.5,1.0,3.589351648170387e-29,0.02914411399836998,0.220961584331032,0.19408535425590615
62,Solar_Water_Heaters,0.5,1.0,1.1709107440966035e-20,1.3934781740070864e-13,0.20284971172166238,0.38153807533690615
63,Wind_Turbine_(Denmark),0.5,1.0,3.341050152407049e-58,6.545147854526663e-39,0.11431461035602462,0.1861940118359409
64,Corn_(US),0.5,1.0,3.7948033581890433e-17,3.9674364449274976e-08,0.08659630568899243,0.23184417415869005
65,Hard_Disk_Drive,0.5,1.0,9.535552510869095e-147,2.590880567757763e-84,0.26858783928901353,0.6346779065954985
66,Low_Density_Polyethylene,0.5,1.0,6.922147748496817e-14,8.226347066696532e-09,0.165301255777343,0.03713428103170134
67,Primary_Magnesium,0.5,1.0,5.901648382675362e-140,9.304322061692482e-56,0.2146227114878114,0.29423050247625965
68,Wheat_(US),0.5,1.0,0.0,0.0,0.2813860593255399,0.16920944322629952
69,Offshore_Gas_Pipeline,0.5,1.0,1.8423445273228536e-06,0.01670002633652596,1.2296185954890624,0.5356332150054172
70,Ethanol_(Brazil),0.5,1.0,2.2409421445270312e-45,1.6062860657593936e-18,0.27758426443257495,0.10220240720449086
71,Wind_Power,0.5,1.0,5.153569130042621e-43,3.972498772280989e-22,0.16925559572595808,0.1754536883184779
72,Ford_Model-T,0.5,1.0,1.8845570509243319e-06,8.07621201606014e-05,0.05786106166376856,0.21107224116109707
73,Polystyrene,0.5,1.0,1.5684012035371713e-116,7.432184503269906e-28,0.2674318207009798,0.18796010084505302
74,Wind_Turbine_2_(Germany),0.5,2.0,2.426406023064211e-09,1.5449101737495922e-06,0.2807948485879504,0.5931432662791012
75,Fotovoltaica,0.5,2.0,0.0,0.0,0.8139539201019412,0.30448067492326325
76,Photovoltaics_2,0.5,2.0,8.912755309113305e-104,5.610124344816729e-72,0.6878275567870045,0.3148259521026499
77,Titanium_Sponge,0.5,2.0,6.506844732276174e-12,7.4678435688707155e-06,0.5581710497471069,0.208646627811604
78,Wind_Electricity,0.5,2.0,1.4551257217216893e-15,1.4041013892967545e-10,0.2788671809181266,0.684709984551328
79,Transistor,0.5,2.0,0.0,0.0,0.28443360847422017,0.88568508892949
80,Photovoltaics_4,0.5,2.0,1.6016041660942093e-92,1.5219111761517697e-61,0.27138473420760434,0.04948587268964381
81,DRAM,0.5,2.0,0.0,3.955665463995573e-166,0.7229622938429218,1.0111384566035704
82,Monochrome_Television,0.5,2.0,1.769100935278648e-14,3.227837010658725e-07,0.16295768644382863,0.33335170683431387
83,Laser_Diode,0.5,2.0,3.309332423728214e-11,3.270739544439226e-05,0.4510177564039704,0.18920871968135156
84,Photovoltaics,0.5,2.0,3.6983264737979097e-38,5.5870388371734664e-08,0.2580103464540379,0.16053793014738899
85,Solar_Water_Heaters,0.5,2.0,5.8923972609119685e-06,0.0004122948020616912,0.08665075659362939,0.817624601662199
86,Wind_Turbine_(Denmark),0.5,2.0,1.5645291746999499e-10,7.4678435688707155e-06,0.16786565447166088,0.4166193020921893
87,Hard_Disk_Drive,0.5,2.0,3.1090170665608944e-119,1.8642922360606062e-79,0.4654614362829707,1.2544387011332836
88,Primary_Magnesium,0.5,2.0,5.928407828911812e-183,2.2267234023011004e-83,0.16922732494930695,0.3511519336709601
89,Wheat_(US),0.5,2.0,0.0,4.882141618638518e-189,0.33943907699420806,0.41150940944174585
90,Wind_Power,0.5,2.0,1.3622240141603016e-10,7.666642368097035e-09,0.14784187980118807,0.30113633876905643
91,Wind_Turbine_2_(Germany),1.0,0.5,1.4247565204475858e-21,4.208697311953282e-14,0.0904823674076162,0.19186338331466263
92,Fotovoltaica,1.0,0.5,0.0,9.221998347590298e-233,0.18563887337167176,0.12441212282614095
93,Photovoltaics_2,1.0,0.5,1.0324418933882777e-179,1.913837919507823e-46,0.1697476043038241,0.1125729088545976
94,Titanium_Sponge,1.0,0.5,8.630952859094909e-29,4.414612985446132e-16,0.29609491406261956,0.14919249297053416
95,Wind_Electricity,1.0,0.5,3.2482736838727014e-144,1.07447282255039e-131,0.16011066233735205,0.03981577713911799
96,Milk_(US),1.0,0.5,0.0,4.743007500646768e-114,0.3334579989054617,0.20204593753816616
97,Transistor,1.0,0.5,0.0,1.4646339699694852e-249,0.148294801898107,0.3057037226820126
98,Primary_Aluminum,1.0,0.5,1.2127476126140465e-05,0.09058732192151371,0.08565685445610852,0.06651266822830049
99,Photovoltaics_4,1.0,0.5,1.0592529826257842e-43,0.0012712823386687277,0.05849317793479466,0.04411069706392375
100,DRAM,1.0,0.5,0.0,1.2599256112055834e-67,0.29963325725229856,0.3561567021885741
101,Ethanol_2,1.0,0.5,3.3741036959294356e-23,8.239663441735367e-14,0.16717571573346035,0.06172075286784484
102,Monochrome_Television,1.0,0.5,3.5881993470274713e-57,9.153368908755675e-41,0.1577835444316557,0.0509554733312673
103,Polyvinylchloride,1.0,0.5,6.266915529527266e-12,1.890797448716207e-05,0.15549949571169683,0.09342268157931766
104,Polypropylene,1.0,0.5,0.0003479760305472964,0.0010862466258220339,0.057994947491216996,0.07813277661236859
105,Laser_Diode,1.0,0.5,1.4083080776974489e-05,0.042843376003627975,0.17204630806906904,0.11241714305674083
106,Shotgun_Sanger_DNA_Sequencing,1.0,0.5,3.697777009537196e-33,2.3825973569540102e-09,0.13412593142932053,0.11335845367802519
107,Capillary_DNA_Sequencing,1.0,0.5,0.00013878170006792535,0.031209012771740218,0.11003320433535481,0.05775651657265291
108,Automotive_(US),1.0,0.5,6.373535624672286e-19,5.406805807730736e-07,0.04789201687574937,0.09103641629694989
109,Photovoltaics,1.0,0.5,1.7321341453303787e-11,0.008271657099761888,0.13123418693473812,0.1284478534580029
110,Solar_Water_Heaters,1.0,0.5,6.246981286066246e-13,4.0656763354795054e-10,0.11629348352647201,0.24783112930188542
111,Wind_Turbine_(Denmark),1.0,0.5,1.0811157261730244e-79,5.048176729082308e-78,0.0615023826114048,0.10253802117484055
112,Corn_(US),1.0,0.5,3.254499219154256e-17,5.6545058365883225e-11,0.058161833378329274,0.08980078873073633
113,Hard_Disk_Drive,1.0,0.5,9.522502335879961e-102,2.4170654798742073e-62,0.18814473338281315,0.3859957228860405
114,Low_Density_Polyethylene,1.0,0.5,4.4615447353766783e-14,6.957246699534976e-05,0.1494010380277845,0.08313028629941639
115,Primary_Magnesium,1.0,0.5,0.0,7.451127709870843e-128,0.12463437501185531,0.18194713568725301
116,Wheat_(US),1.0,0.5,0.0,0.0,0.27462561116969625,0.16557238200093863
117,Ethanol_(Brazil),1.0,0.5,2.0103589562352698e-27,3.013017403530002e-10,0.1459726760513279,0.090109430640312
118,Wind_Power,1.0,0.5,1.9071963666793518e-57,3.240332903804976e-18,0.11164923866423507,0.11024683217801123
119,Ford_Model-T,1.0,0.5,2.5681461496321543e-06,8.089116929493257e-05,0.0941096638004218,0.06538868137417754
120,Polystyrene,1.0,0.5,3.7669701893727536e-148,6.903296755926492e-39,0.2575077917059901,0.13092861679194084
121,Wind_Turbine_2_(Germany),1.0,1.0,2.6967733626149734e-23,6.622576685088402e-15,0.1433377567554016,0.292599545736745
122,Fotovoltaica,1.0,1.0,0.0,0.0,0.3371128655532051,0.17940288870503288
123,Photovoltaics_2,1.0,1.0,1.9346034953665927e-45,4.0792302363180904e-20,0.2569644327206677,0.1664231133584184
124,Titanium_Sponge,1.0,1.0,1.0803227411341868e-22,3.5865434329948835e-13,0.4780411494900382,0.1616756660119431
125,Wind_Electricity,1.0,1.0,1.755709830743869e-104,8.3870905275203e-62,0.26589878299379277,0.05363240415283012
